question,answer
"¿Qué es una Tarjeta Crédito Virtual?","La tarjeta de crédito es un medio de pago adicional asociado a tu tarjeta de crédito física, con la que puedes realizar compras por internet, pagar plataformas de streaming o realizar compras presenciales a través de billeteras digitales."
"¿Qué necesito para tener la Tarjeta Crédito Virtual?","Necesitas tener una Tarjeta Crédito física con el Banco bien sea franquicia Visa o Mastercard, ya que compartirás el cupo que tienes disponible en tu Tarjeta Crédito física con la Tarjeta Crédito Virtual."
"¿Dónde veo mi Tarjeta Crédito Virtual?","Tu Tarjeta Crédito Virtual siempre estará disponible para consultarla a través de la Banca Virtual o en AV Villas app."
"¿Tengo que recargar esta Tarjeta Crédito Virtual para hacer compras?","NO, las compras se cargan directamente del cupo disponible de la Tarjeta Crédito física a la que tengas asociada la Tarjeta Crédito Virtual."
"¿Puedo hacer avances con la Tarjeta Crédito Virtual en un cajero automático?","No, los avances en el cajero automático sólo podrás hacerlos con tu Tarjeta Crédito física."
"¿Esta Tarjeta Crédito Virtual tiene comisiones?","La Tarjeta Crédito Virtual no tiene cobro de cuota de manejo, se mantiene el costo y tipología de cobro que tenga asociado la tarjeta física."
"¿Cuál es la fecha de corte y la fecha de pago de la Tarjeta Crédito Virtual?","Es la misma que posee la Tarjera Crédito física."
"¿Los datos de mi Tarjeta Crédito Virtual son los mismos de mi Tarjeta Crédito física?","No, cada tarjeta tiene números diferentes por seguridad; se pueden consideran dos medios de manejo distintos."
"¿Puedo hacer compras en tiendas físicas?","Si, registrando tu tarjeta en las billeteras digitales que el Banco ponga a tu disposición la podrás usar en tiendas físicas."
"¿Dónde puedo consultar los movimientos de mi Tarjeta Crédito Virtual?","Los puedes consultar en tu extracto o en los movimientos a través de AV Villas App o Banca Virtual."
"¿Puedo tener más de una Tarjeta Crédito Virtual?","Claro que sí, puedes tener dos Tarjeta Crédito Virtual por cada Tarjeta física que tengas."
"¿Qué hago si se me perdió el celular?","Es importante que bloquees tu celular y lo reportes como perdido para asegurar que todos tus datos e información no la conozca nadie más. Ingresa por la Banca Virtual y bloquea tu Tarjeta Crédito Virtual o llámanos para ayudarte."
