question,answer
"¿Cuántas veces puedo activar o reexpedir la Tarjeta Débito Digital?", "Puedes realizar la solicitud de activación de la Tarjeta débito digital hasta 5 veces al mes."
"¿Qué es una Tarjeta Débito Digital?", "La Tarjeta Débito digital Mastercard AV Villas es un medio de pago que permite realizar de forma rápida, cómoda y segura compras por internet y pagos en aplicaciones sin la necesidad de tener un plástico físico."
"¿Tengo que recargar esta Tarjeta para hacer compras?", "No, las compras se debitan directamente del saldo disponible de la cuenta de Ahorros o Corriente a la que tengas asociada la Tarjeta Débito Digital."
"¿Puedo personalizar los topes de uso de mi Tarjeta Débito Digital diferente a los de la Tarjeta Débito Física?", "Si, los topes de Tu Tarjeta Débito Digital se pueden personalizar en línea a través de la Banca Virtual o en  AV Villas App, dando clic en la consulta de Tu Tarjeta Debito Digital y luego en la opción Editar Tarjeta. Aplican los topes máximos permitidos que puedes consultar en <a href='https://www.avvillas.com.co/productos-en-oficina/topes-de-canales-electronicos'>Topes de Canales Electrónicos - Tradicional - Banco AV Villas</a>"
"¿Esta Tarjeta Débito Digital tiene comisiones?", "Las Tarjetas Débito Digitales no tienen cobro de comisiones por su mantenimiento y emisión. Lo que se ha mencionado es que no le va a costar más al cliente, es decir, no va a tener doble cuota de manejo si ya cuenta con la física."
"¿Puedo sacar plata de la Tarjeta Débito Digital Mastercard en un cajero?", "No es posible ya que no es un plástico físico."
"¿Puedo hacer compras en tiendas físicas?", "No, la Tarjeta Débito Digital está diseñada para hacer compras únicamente virtuales a través de páginas web, aplicaciones, QR o entornos virtuales."
"¿Cuál es la diferencia entre la Tarjeta Débito Digital y la Tarjeta Débito Mastercard física de mi cuenta de ahorros y/o corriente?", "La Tarjeta Débito física la puedes utilizar en compras presentes (datáfonos de establecimientos de comercio) y no presentes, registrando para este último los datos de tu tarjeta en cada portal de compra, mientras que la Tarjeta Débito Digital te permite utilizarla de manera exclusiva en el mundo no presente con las mismas seguridades de tu Tarjeta física pero con la facilidad que puedes visualizar y copiar los datos de tu Tarjeta sin tenerla a la mano. Además, podrás parametrizar de manera independiente los montos permitidos de uso de tu Tarjeta al tener un número diferente de plástico que la física."
"¿Cómo se cancela la Tarjeta Débito Digital?", "Puedes hacerlo en el momento que quieras, desde el menú de configuración de tarjetas."
"¿Los datos de mi Tarjeta Débito Digital son los mismos de mi Tarjeta Débito física?", "No, cada Tarjeta tiene números diferentes por seguridad; se pueden considerar dos medios de manejo distintos."
"¿Dónde puedo consultar los movimientos de cuenta de mi Tarjeta Débito Digital?", "Estos se encontrarán en los movimientos de tu cuenta de Ahorros y/o Corriente a la cual la tienes asociada."
"¿Puedo bloquear mi Tarjeta Débito Digital?", "Sí, la podrás bloquear temporal o definitivamente."
"¿Puedo tener más de una Tarjeta Débito Digital?", "Claro que sí, puedes tener una Tarjeta Débito Digital por cada una de tus Cuentas de Ahorro y Corriente."
